<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 3468832465
	128	99.8%	(0.1%)
	256	99.7%	(0.5%)
	512	99.2%	(3%)
	1024	96.2%	(7.7%)
	2048	88.5%	(31.3%)
	4096	57.2%	(48.1%)
	8192	9.1%	(9.1%)
231000	mean = 56945.9	max = 164228
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.1%)
	512	99.7%	(1.9%)
	1024	97.8%	(10.2%)
	2048	87.6%	(33.7%)
	4096	53.9%	(41.9%)
	8192	12%	(12%)
232000	mean = 56829.7	max = 157216
	64	100%	(0.3%)
	128	99.7%	(0.1%)
	256	99.6%	(0.4%)
	512	99.2%	(2.2%)
	1024	97%	(8.7%)
	2048	88.3%	(33.2%)
	4096	55.1%	(44.6%)
	8192	10.5%	(10.5%)
233000	mean = 56322.7	max = 164400
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.6%)
	512	99%	(2.5%)
	1024	96.5%	(8.7%)
	2048	87.8%	(35.4%)
	4096	52.4%	(41.4%)
	8192	11%	(11%)
234000	mean = 58112.7	max = 157244
	64	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(2.2%)
	1024	97.6%	(8.9%)
	2048	88.7%	(32.8%)
	4096	55.9%	(44.8%)
	8192	11.1%	(11.1%)
235000	mean = 52008.3	max = 172516
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(1.2%)
	512	98.3%	(4%)
	1024	94.3%	(11.6%)
	2048	82.7%	(35.6%)
	4096	47.1%	(37.7%)
	8192	9.4%	(9.4%)
236000	mean = 56218.6	max = 171496
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.7%)
	512	99%	(2.9%)
	1024	96.1%	(9.1%)
	2048	87%	(32.8%)
	4096	54.2%	(43.8%)
	8192	10.4%	(10.4%)
237000	mean = 55605.8	max = 172216
	256	100%	(0.3%)
	512	99.7%	(2.4%)
	1024	97.3%	(8.8%)
	2048	88.5%	(35.2%)
	4096	53.3%	(44.8%)
	8192	8.5%	(8.5%)
238000	mean = 57269.2	max = 170868
	256	100%	(0.6%)
	512	99.4%	(1.7%)
	1024	97.7%	(8.7%)
	2048	89%	(33.8%)
	4096	55.2%	(44.2%)
	8192	11%	(11%)
239000	mean = 57069.3	max = 156704
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.1%)
	256	99.7%	(0.5%)
	512	99.2%	(2.8%)
	1024	96.4%	(8.2%)
	2048	88.2%	(31.4%)
	4096	56.8%	(47.5%)
	8192	9.3%	(9.3%)
240000	mean = 56400.7	max = 158028
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.6%)
	1024	97.8%	(10.2%)
	2048	87.6%	(34.9%)
	4096	52.7%	(41.9%)
	8192	10.8%	(10.8%)
241000	mean = 56336.9	max = 151700
	256	100%	(0.5%)
	512	99.5%	(2.6%)
	1024	96.9%	(7.9%)
	2048	89%	(33.8%)
	4096	55.2%	(45.8%)
	8192	9.4%	(9.4%)
242000	mean = 56758.2	max = 163704
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(2.3%)
	1024	96.8%	(7.8%)
	2048	89%	(34.3%)
	4096	54.7%	(43.9%)
	8192	10.8%	(10.8%)
243000	mean = 56926.4	max = 165824
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(1.8%)
	1024	97.5%	(8.6%)
	2048	88.9%	(33.3%)
	4096	55.6%	(44.8%)
	8192	10.8%	(10.8%)
244000	mean = 56962.7	max = 174716
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.6%)
	1024	97%	(8.3%)
	2048	88.7%	(33%)
	4096	55.7%	(45.3%)
	8192	10.4%	(10.4%)
245000	mean = 56734	max = 171752
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.9%)
	512	98.7%	(2.2%)
	1024	96.5%	(9.4%)
	2048	87.1%	(31.4%)
	4096	55.7%	(45.2%)
	8192	10.5%	(10.5%)
246000	mean = 56732.3	max = 175312
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(2.4%)
	1024	96.8%	(7.1%)
	2048	89.7%	(33.2%)
	4096	56.5%	(47.3%)
	8192	9.2%	(9.2%)
247000	mean = 60121.4	max = 175248
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(1.9%)
	1024	97.3%	(8.3%)
	2048	89%	(29.7%)
	4096	59.3%	(45.6%)
	8192	13.7%	(13.7%)
248000	mean = 54852.4	max = 167996
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.3%)
	512	99.4%	(2.7%)
	1024	96.7%	(9.7%)
	2048	87%	(33.1%)
	4096	53.9%	(45%)
	8192	8.9%	(8.9%)
249000	mean = 55740.7	max = 158568
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.9%)
	1024	97.6%	(9.1%)
	2048	88.5%	(36.7%)
	4096	51.8%	(40.8%)
	8192	11%	(11%)
250000	mean = 57748.3	max = 163456
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(0.7%)
	512	98.8%	(1.6%)
	1024	97.2%	(8.2%)
	2048	89%	(34.5%)
	4096	54.5%	(42.3%)
	8192	12.2%	(12.2%)
251000	mean = 44745.3	max = 171540
	32	100%	(0.1%)
	64	99.9%	(0.5%)
	128	99.4%	(1.1%)
	256	98.3%	(2.9%)
	512	95.4%	(5.9%)
	1024	89.5%	(14.7%)
	2048	74.8%	(33.2%)
	4096	41.6%	(35%)
	8192	6.6%	(6.6%)
252000	mean = 54857	max = 153352
	128	100%	(0.4%)
	256	99.6%	(0.3%)
	512	99.3%	(1.8%)
	1024	97.5%	(10.2%)
	2048	87.3%	(35.1%)
	4096	52.2%	(42.7%)
	8192	9.5%	(9.5%)
253000	mean = 57414	max = 151244
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(2%)
	1024	97.2%	(7.8%)
	2048	89.4%	(34.7%)
	4096	54.7%	(42.5%)
	8192	12.2%	(12.2%)
254000	mean = 57759.9	max = 173248
	128	100%	(0.2%)
	256	99.8%	(0.1%)
	512	99.7%	(2.6%)
	1024	97.1%	(8.6%)
	2048	88.5%	(32.4%)
	4096	56.1%	(44.8%)
	8192	11.3%	(11.3%)
255000	mean = 57769.1	max = 169576
	128	100%	(0.5%)
	256	99.5%	(0.3%)
	512	99.2%	(2%)
	1024	97.2%	(7.6%)
	2048	89.6%	(33.4%)
	4096	56.2%	(45%)
	8192	11.2%	(11.2%)
256000	mean = 57183.7	max = 177076
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.3%)
	512	99.3%	(1.7%)
	1024	97.6%	(8.6%)
	2048	89%	(35.6%)
	4096	53.4%	(41.3%)
	8192	12.1%	(12.1%)
257000	mean = 57403.4	max = 174572
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(2.7%)
	1024	96.7%	(8.3%)
	2048	88.4%	(32.3%)
	4096	56.1%	(44.2%)
	8192	11.9%	(11.9%)
258000	mean = 56956	max = 169496
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2%)
	1024	97.3%	(9%)
	2048	88.3%	(32.7%)
	4096	55.6%	(44.7%)
	8192	10.9%	(10.9%)
259000	mean = 58397.3	max = 174524
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(1.8%)
	1024	97.4%	(7.7%)
	2048	89.7%	(32.1%)
	4096	57.6%	(45.6%)
	8192	12%	(12%)
260000	mean = 58075.3	max = 172968
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(2.2%)
	1024	97%	(8.7%)
	2048	88.3%	(32%)
	4096	56.3%	(44.2%)
	8192	12.1%	(12.1%)
261000	mean = 55430.1	max = 174700
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.7%)
	512	98.8%	(2.6%)
	1024	96.2%	(9.3%)
	2048	86.9%	(34.6%)
	4096	52.3%	(41%)
	8192	11.3%	(11.3%)
262000	mean = 56959.7	max = 162592
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.8%)
	1024	97.6%	(8.2%)
	2048	89.4%	(33.8%)
	4096	55.6%	(44.6%)
	8192	11%	(11%)
263000	mean = 57942.1	max = 165024
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.2%)
	256	99.5%	(0.5%)
	512	99%	(1.2%)
	1024	97.8%	(8.8%)
	2048	89%	(35%)
	4096	54%	(41.8%)
	8192	12.2%	(12.2%)
264000	mean = 60972.1	max = 172084
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.8%)
	1024	97.9%	(7.2%)
	2048	90.7%	(31.7%)
	4096	59%	(44.5%)
	8192	14.5%	(14.5%)
265000	mean = 59656.6	max = 174960
	128	100%	(0.4%)
	256	99.6%	(0.2%)
	512	99.4%	(2.3%)
	1024	97.1%	(8%)
	2048	89.1%	(32%)
	4096	57.1%	(44.3%)
	8192	12.8%	(12.8%)
266000	mean = 58848.8	max = 173284
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(0.5%)
	512	98.9%	(2.4%)
	1024	96.5%	(8%)
	2048	88.5%	(33.3%)
	4096	55.2%	(42.2%)
	8192	13%	(13%)
267000	mean = 59077.6	max = 172664
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(1.9%)
	1024	97.3%	(8.5%)
	2048	88.8%	(32.7%)
	4096	56.1%	(41.9%)
	8192	14.2%	(14.2%)
268000	mean = 60349.8	max = 167992
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(2.2%)
	1024	97.1%	(7.9%)
	2048	89.2%	(29.8%)
	4096	59.4%	(46%)
	8192	13.4%	(13.4%)
269000	mean = 57799.9	max = 176156
	128	100%	(0.4%)
	256	99.6%	(0.6%)
	512	99%	(2.4%)
	1024	96.6%	(7.6%)
	2048	89%	(32.1%)
	4096	56.9%	(45.6%)
	8192	11.3%	(11.3%)
270000	mean = 59552.1	max = 168264
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(2.1%)
	1024	97.5%	(7.2%)
	2048	90.3%	(32%)
	4096	58.3%	(45.5%)
	8192	12.8%	(12.8%)
271000	mean = 59164.1	max = 176372
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.1%)
	512	99.6%	(1.8%)
	1024	97.8%	(7.3%)
	2048	90.5%	(33.8%)
	4096	56.7%	(43.9%)
	8192	12.8%	(12.8%)
272000	mean = 59625.2	max = 173552
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.8%)
	1024	97.8%	(9.2%)
	2048	88.6%	(31.2%)
	4096	57.4%	(43.9%)
	8192	13.5%	(13.5%)
273000	mean = 58415.5	max = 173232
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(0.1%)
	512	99.3%	(1.7%)
	1024	97.6%	(8.6%)
	2048	89%	(33.4%)
	4096	55.6%	(43.3%)
	8192	12.3%	(12.3%)
274000	mean = 57352.6	max = 172936
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(2.3%)
	1024	96.9%	(8%)
	2048	88.9%	(30.9%)
	4096	58%	(47.9%)
	8192	10.1%	(10.1%)
275000	mean = 57886	max = 169916
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.6%)
	1024	97.9%	(6.7%)
	2048	91.2%	(35.6%)
	4096	55.6%	(45%)
	8192	10.6%	(10.6%)
276000	mean = 56914.6	max = 164980
	128	100%	(0.4%)
	256	99.6%	(0.9%)
	512	98.7%	(2.1%)
	1024	96.6%	(7.9%)
	2048	88.7%	(34.2%)
	4096	54.5%	(43.1%)
	8192	11.4%	(11.4%)
277000	mean = 57332.1	max = 169376
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(2%)
	1024	97.3%	(9.8%)
	2048	87.5%	(31.7%)
	4096	55.8%	(44.2%)
	8192	11.6%	(11.6%)
278000	mean = 59211.4	max = 176476
	128	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(1.5%)
	1024	97.9%	(6.5%)
	2048	91.4%	(35.1%)
	4096	56.3%	(44.4%)
	8192	11.9%	(11.9%)
279000	mean = 58443	max = 175732
	128	100%	(0.5%)
	256	99.5%	(0.2%)
	512	99.3%	(2.6%)
	1024	96.7%	(9.4%)
	2048	87.3%	(32%)
	4096	55.3%	(41.1%)
	8192	14.2%	(14.2%)
280000	mean = 58448.6	max = 176528
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.3%)
	512	99.3%	(2.2%)
	1024	97.1%	(8.5%)
	2048	88.6%	(34%)
	4096	54.6%	(41.1%)
	8192	13.5%	(13.5%)
281000	mean = 59033.4	max = 177124
	256	100%	(0.1%)
	512	99.9%	(2.1%)
	1024	97.8%	(7.8%)
	2048	90%	(33.9%)
	4096	56.1%	(43.1%)
	8192	13%	(13%)
282000	mean = 59353.5	max = 170784
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.8%)
	1024	97.6%	(8%)
	2048	89.6%	(33.7%)
	4096	55.9%	(42.7%)
	8192	13.2%	(13.2%)
283000	mean = 57798.4	max = 176356
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(0.1%)
	512	99%	(2.8%)
	1024	96.2%	(10%)
	2048	86.2%	(30.9%)
	4096	55.3%	(42.7%)
	8192	12.6%	(12.6%)
284000	mean = 61025.9	max = 175760
	128	100%	(0.3%)
	256	99.7%	(0.2%)
	512	99.5%	(1.8%)
	1024	97.7%	(8.2%)
	2048	89.5%	(30.1%)
	4096	59.4%	(45.5%)
	8192	13.9%	(13.9%)
285000	mean = 60156	max = 173268
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(1.9%)
	1024	97.3%	(9%)
	2048	88.3%	(29.6%)
	4096	58.7%	(44.9%)
	8192	13.8%	(13.8%)
286000	mean = 59879.6	max = 176472
	256	100%	(0.4%)
	512	99.6%	(2%)
	1024	97.6%	(7.1%)
	2048	90.5%	(33.1%)
	4096	57.4%	(43.3%)
	8192	14.1%	(14.1%)
287000	mean = 58307.3	max = 175468
	64	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(2.4%)
	1024	96.7%	(8.2%)
	2048	88.5%	(32.1%)
	4096	56.4%	(43.2%)
	8192	13.2%	(13.2%)
288000	mean = 58536.9	max = 173072
	128	100%	(0.2%)
	256	99.8%	(0.7%)
	512	99.1%	(2.2%)
	1024	96.9%	(9.3%)
	2048	87.6%	(33.5%)
	4096	54.1%	(40.5%)
	8192	13.6%	(13.6%)
289000	mean = 59660.5	max = 175560
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(2.3%)
	1024	97.4%	(7%)
	2048	90.4%	(33.2%)
	4096	57.2%	(44.8%)
	8192	12.4%	(12.4%)
290000	mean = 59902	max = 168280
	128	100%	(0.3%)
	512	99.7%	(2%)
	1024	97.7%	(6.8%)
	2048	90.9%	(31.2%)
	4096	59.7%	(46.7%)
	8192	13%	(13%)
291000	mean = 58825.1	max = 176236
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2%)
	1024	97.6%	(8%)
	2048	89.6%	(33%)
	4096	56.6%	(44.2%)
	8192	12.4%	(12.4%)
292000	mean = 60157.4	max = 174964
	128	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(1.6%)
	1024	97.8%	(8.8%)
	2048	89%	(32.5%)
	4096	56.5%	(42.1%)
	8192	14.4%	(14.4%)
293000	mean = 58447.7	max = 176528
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(2.2%)
	1024	97.3%	(8.9%)
	2048	88.4%	(31.5%)
	4096	56.9%	(44.6%)
	8192	12.3%	(12.3%)
294000	mean = 61265.7	max = 177256
	128	100%	(0.2%)
	512	99.8%	(0.8%)
	1024	99%	(9.5%)
	2048	89.5%	(31.3%)
	4096	58.2%	(43.6%)
	8192	14.6%	(14.6%)
295000	mean = 59676.2	max = 162248
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(1.8%)
	1024	97.5%	(7.5%)
	2048	90%	(32.8%)
	4096	57.2%	(43.7%)
	8192	13.5%	(13.5%)
296000	mean = 60044.8	max = 175764
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(2.3%)
	1024	97.4%	(8.9%)
	2048	88.5%	(31.8%)
	4096	56.7%	(42.5%)
	8192	14.2%	(14.2%)
297000	mean = 61415.5	max = 177220
	64	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(1.7%)
	1024	97.4%	(7.2%)
	2048	90.2%	(30.7%)
	4096	59.5%	(46.3%)
	8192	13.2%	(13.2%)
298000	mean = 59752.5	max = 176012
	128	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(2.3%)
	1024	96.8%	(6.3%)
	2048	90.5%	(34.7%)
	4096	55.8%	(41.2%)
	8192	14.6%	(14.6%)
299000	mean = 60026.6	max = 225960
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.5%)
	512	99.2%	(3.1%)
	1024	96.1%	(9%)
	2048	87.1%	(30.2%)
	4096	56.9%	(42.7%)
	8192	14.2%	(14.1%)
	16384	0.1%	(0.1%)
300000	mean = 60813.9	max = 167136
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(0.2%)
	512	99.3%	(1.4%)
	1024	97.9%	(9%)
	2048	88.9%	(30.3%)
	4096	58.6%	(43.4%)
	8192	15.2%	(15.2%)
301000	mean = 62386.2	max = 167876
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.9%)
	1024	97.5%	(7.1%)
	2048	90.4%	(28.8%)
	4096	61.6%	(46.7%)
	8192	14.9%	(14.9%)
302000	mean = 60875.7	max = 175228
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.3%)
	256	99.5%	(0.7%)
	512	98.8%	(2.2%)
	1024	96.6%	(9.3%)
	2048	87.3%	(28.3%)
	4096	59%	(44%)
	8192	15%	(15%)
303000	mean = 62461.9	max = 176348
	128	100%	(0.5%)
	256	99.5%	(0.2%)
	512	99.3%	(1.5%)
	1024	97.8%	(7.7%)
	2048	90.1%	(29.5%)
	4096	60.6%	(45.6%)
	8192	15%	(15%)
304000	mean = 62294.3	max = 171612
	128	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(1.5%)
	1024	97.6%	(6.9%)
	2048	90.7%	(31.8%)
	4096	58.9%	(43.8%)
	8192	15.1%	(15.1%)
305000	mean = 59992.6	max = 175576
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(2.1%)
	1024	97%	(8%)
	2048	89%	(32.5%)
	4096	56.5%	(41.8%)
	8192	14.7%	(14.7%)
306000	mean = 58738.8	max = 175380
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(0.2%)
	512	99.2%	(1.6%)
	1024	97.6%	(9.1%)
	2048	88.5%	(33.3%)
	4096	55.2%	(42.6%)
	8192	12.6%	(12.6%)
307000	mean = 61041.1	max = 175272
	128	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(2.1%)
	1024	97.2%	(7.7%)
	2048	89.5%	(34%)
	4096	55.5%	(38.7%)
	8192	16.8%	(16.8%)
308000	mean = 61769.7	max = 172436
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.1%)
	512	99.5%	(2.1%)
	1024	97.4%	(6.7%)
	2048	90.7%	(30.8%)
	4096	59.9%	(43.4%)
	8192	16.5%	(16.5%)
309000	mean = 60942.4	max = 175212
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.6%)
	1024	98%	(7.3%)
	2048	90.7%	(32.6%)
	4096	58.1%	(43.2%)
	8192	14.9%	(14.9%)
310000	mean = 63180	max = 175320
	128	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(1.6%)
	1024	97.8%	(9.3%)
	2048	88.5%	(30.3%)
	4096	58.2%	(39.4%)
	8192	18.8%	(18.8%)
311000	mean = 62657	max = 174500
	128	100%	(0.3%)
	512	99.7%	(2.4%)
	1024	97.3%	(7.4%)
	2048	89.9%	(30.2%)
	4096	59.7%	(44%)
	8192	15.7%	(15.7%)
312000	mean = 58956.3	max = 176944
	128	100%	(0.2%)
	256	99.8%	(0.1%)
	512	99.7%	(2.1%)
	1024	97.6%	(7.4%)
	2048	90.2%	(35.9%)
	4096	54.3%	(40.5%)
	8192	13.8%	(13.8%)
313000	mean = 61216	max = 174184
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(1.7%)
	1024	97.5%	(7.8%)
	2048	89.7%	(31.9%)
	4096	57.8%	(42.3%)
	8192	15.5%	(15.5%)
314000	mean = 61425.7	max = 172400
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(2.2%)
	1024	97.4%	(7.2%)
	2048	90.2%	(33.3%)
	4096	56.9%	(40.9%)
	8192	16%	(16%)
315000	mean = 62171.8	max = 165768
	128	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(1%)
	1024	98.4%	(7.2%)
	2048	91.2%	(33.4%)
	4096	57.8%	(41.1%)
	8192	16.7%	(16.7%)
316000	mean = 59547.1	max = 173200
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(0.7%)
	512	98.7%	(2.1%)
	1024	96.6%	(7.5%)
	2048	89.1%	(34%)
	4096	55.1%	(41%)
	8192	14.1%	(14.1%)
317000	mean = 58892.7	max = 168216
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.7%)
	512	98.9%	(2.4%)
	1024	96.5%	(9%)
	2048	87.5%	(30.3%)
	4096	57.2%	(43.8%)
	8192	13.4%	(13.4%)
318000	mean = 62222.6	max = 175384
	64	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(2%)
	1024	97.8%	(6.3%)
	2048	91.5%	(32.2%)
	4096	59.3%	(43.1%)
	8192	16.2%	(16.2%)
319000	mean = 60132.9	max = 173304
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.2%)
	512	99.4%	(1.4%)
	1024	98%	(8.9%)
	2048	89.1%	(31.8%)
	4096	57.3%	(42.8%)
	8192	14.5%	(14.5%)
320000	mean = 61636.7	max = 173260
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.7%)
	1024	97.7%	(7.8%)
	2048	89.9%	(29.9%)
	4096	60%	(45.6%)
	8192	14.4%	(14.4%)
321000	mean = 62857.6	max = 176752
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(2.1%)
	1024	97.5%	(7.5%)
	2048	90%	(28.9%)
	4096	61.1%	(45%)
	8192	16.1%	(16.1%)
322000	mean = 61679	max = 175724
	128	100%	(0.2%)
	256	99.8%	(0.7%)
	512	99.1%	(1.5%)
	1024	97.6%	(7.4%)
	2048	90.2%	(32.4%)
	4096	57.8%	(41.5%)
	8192	16.3%	(16.3%)
323000	mean = 60075.7	max = 221140
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(2.6%)
	1024	96.6%	(8.2%)
	2048	88.4%	(31.1%)
	4096	57.3%	(42.5%)
	8192	14.8%	(14.7%)
	16384	0.1%	(0.1%)
324000	mean = 60153.7	max = 176732
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.2%)
	512	99.4%	(1.8%)
	1024	97.6%	(7.8%)
	2048	89.8%	(33.5%)
	4096	56.3%	(41.5%)
	8192	14.8%	(14.8%)
325000	mean = 61934.2	max = 167960
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(2.1%)
	1024	97.4%	(8.5%)
	2048	88.9%	(29%)
	4096	59.9%	(44.5%)
	8192	15.4%	(15.4%)
326000	mean = 63582.3	max = 174880
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.2%)
	512	99.4%	(1.8%)
	1024	97.6%	(7.3%)
	2048	90.3%	(29.1%)
	4096	61.2%	(44.4%)
	8192	16.8%	(16.8%)
327000	mean = 59721.5	max = 175184
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(0.2%)
	512	99.1%	(1.6%)
	1024	97.5%	(7.8%)
	2048	89.7%	(32.7%)
	4096	57%	(42.8%)
	8192	14.2%	(14.2%)
328000	mean = 60980.7	max = 174944
	64	100%	(0.4%)
	128	99.6%	(0.1%)
	256	99.5%	(0.2%)
	512	99.3%	(2%)
	1024	97.3%	(8.5%)
	2048	88.8%	(31%)
	4096	57.8%	(41.7%)
	8192	16.1%	(16.1%)
329000	mean = 61748.6	max = 176756
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.3%)
	256	99.4%	(0.3%)
	512	99.1%	(1.2%)
	1024	97.9%	(7%)
	2048	90.9%	(31.4%)
	4096	59.5%	(43.4%)
	8192	16.1%	(16.1%)
330000	mean = 60220.2	max = 174100
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(3.2%)
	1024	96.1%	(9.4%)
	2048	86.7%	(26.9%)
	4096	59.8%	(46.2%)
	8192	13.6%	(13.6%)
331000	mean = 60386.2	max = 176140
	128	100%	(0.3%)
	256	99.7%	(0.1%)
	512	99.6%	(1.9%)
	1024	97.7%	(7.7%)
	2048	90%	(30.8%)
	4096	59.2%	(45.2%)
	8192	14%	(14%)
332000	mean = 63800.5	max = 176372
	32	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(2%)
	1024	97.3%	(6.8%)
	2048	90.5%	(29.5%)
	4096	61%	(43.6%)
	8192	17.4%	(17.4%)
333000	mean = 64690.5	max = 175304
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.1%)
	1024	98.4%	(7.7%)
	2048	90.7%	(29.6%)
	4096	61.1%	(42.4%)
	8192	18.7%	(18.7%)
334000	mean = 63884.2	max = 176524
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(2%)
	1024	97.3%	(7.4%)
	2048	89.9%	(29.3%)
	4096	60.6%	(42.8%)
	8192	17.8%	(17.8%)
335000	mean = 61413.4	max = 171408
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.3%)
	512	99.3%	(1.6%)
	1024	97.7%	(6.7%)
	2048	91%	(33.7%)
	4096	57.3%	(41.9%)
	8192	15.4%	(15.4%)
336000	mean = 63743.8	max = 173300
	128	100%	(0.4%)
	256	99.6%	(0.6%)
	512	99%	(2.1%)
	1024	96.9%	(7.1%)
	2048	89.8%	(28.3%)
	4096	61.5%	(43.5%)
	8192	18%	(18%)
337000	mean = 63973.9	max = 176492
	128	100%	(0.4%)
	256	99.6%	(0.7%)
	512	98.9%	(1.2%)
	1024	97.7%	(6.5%)
	2048	91.2%	(28.6%)
	4096	62.6%	(45.7%)
	8192	16.9%	(16.9%)
338000	mean = 61212.7	max = 176160
