<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 4191459678
	4096	4.8%	(4.8%)
247000	mean = 22901.7	max = 74844
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.9%)
	512	94.3%	(10.8%)
	1024	83.5%	(33.9%)
	2048	49.6%	(45.4%)
	4096	4.2%	(4.2%)
248000	mean = 22500.7	max = 71348
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(3.5%)
	512	95.5%	(13.9%)
	1024	81.6%	(31.9%)
	2048	49.7%	(45.4%)
	4096	4.3%	(4.3%)
249000	mean = 22616.8	max = 65588
	128	100%	(1.1%)
	256	98.9%	(3.6%)
	512	95.3%	(14.3%)
	1024	81%	(31.9%)
	2048	49.1%	(44.3%)
	4096	4.8%	(4.8%)
250000	mean = 22763.4	max = 80520
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(4%)
	512	95%	(13.2%)
	1024	81.8%	(33.3%)
	2048	48.5%	(43.1%)
	4096	5.4%	(5.4%)
251000	mean = 22700.1	max = 71772
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(5.2%)
	512	94.4%	(13.7%)
	1024	80.7%	(31.6%)
	2048	49.1%	(44.6%)
	4096	4.5%	(4.5%)
252000	mean = 22836.3	max = 71516
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(6%)
	512	93.5%	(12.4%)
	1024	81.1%	(31.9%)
	2048	49.2%	(44.1%)
	4096	5.1%	(5.1%)
253000	mean = 22858.3	max = 68264
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(1.1%)
	256	98.7%	(4.6%)
	512	94.1%	(12.1%)
	1024	82%	(32.3%)
	2048	49.7%	(44.7%)
	4096	5%	(5%)
254000	mean = 22874.3	max = 78716
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(4.6%)
	512	94.8%	(13.3%)
	1024	81.5%	(31.9%)
	2048	49.6%	(44.7%)
	4096	4.9%	(4.9%)
255000	mean = 23072.1	max = 77248
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(5.5%)
	512	93.8%	(12.1%)
	1024	81.7%	(31.7%)
	2048	50%	(44.2%)
	4096	5.8%	(5.8%)
256000	mean = 23666.7	max = 80476
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.7%)
	512	95.5%	(11.4%)
	1024	84.1%	(31.6%)
	2048	52.5%	(47.6%)
	4096	4.9%	(4.9%)
257000	mean = 22941.2	max = 69764
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.5%)
	512	94.9%	(13.5%)
	1024	81.4%	(31.8%)
	2048	49.6%	(44.2%)
	4096	5.4%	(5.4%)
258000	mean = 22546.3	max = 69252
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(5.8%)
	512	93.3%	(12.1%)
	1024	81.2%	(31.6%)
	2048	49.6%	(45.3%)
	4096	4.3%	(4.3%)
259000	mean = 22873.4	max = 71664
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(5.3%)
	512	93.8%	(12.2%)
	1024	81.6%	(30.7%)
	2048	50.9%	(46.8%)
	4096	4.1%	(4.1%)
260000	mean = 23040	max = 71892
	128	100%	(1.1%)
	256	98.9%	(4.7%)
	512	94.2%	(11.1%)
	1024	83.1%	(32.9%)
	2048	50.2%	(45.4%)
	4096	4.8%	(4.8%)
261000	mean = 22905	max = 65180
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.6%)
	512	94.9%	(12.8%)
	1024	82.1%	(32.5%)
	2048	49.6%	(45.1%)
	4096	4.5%	(4.5%)
262000	mean = 22867.7	max = 70984
	128	100%	(0.9%)
	256	99.1%	(4.5%)
	512	94.6%	(14.1%)
	1024	80.5%	(30.2%)
	2048	50.3%	(44.9%)
	4096	5.4%	(5.4%)
263000	mean = 23155.4	max = 72120
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.7%)
	512	94.6%	(10.3%)
	1024	84.3%	(34.7%)
	2048	49.6%	(44.1%)
	4096	5.5%	(5.5%)
264000	mean = 22949.7	max = 69456
	64	100%	(0.5%)
	128	99.5%	(0.4%)
	256	99.1%	(5.6%)
	512	93.5%	(11.1%)
	1024	82.4%	(32.5%)
	2048	49.9%	(43.9%)
	4096	6%	(6%)
265000	mean = 22246.4	max = 75732
	64	100%	(0.4%)
	128	99.6%	(0.6%)
	256	99%	(4.4%)
	512	94.6%	(14.5%)
	1024	80.1%	(33%)
	2048	47.1%	(42.8%)
	4096	4.3%	(4.3%)
266000	mean = 23401.8	max = 76424
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.1%)
	512	95.4%	(12.4%)
	1024	83%	(33.3%)
	2048	49.7%	(43%)
	4096	6.7%	(6.7%)
267000	mean = 22660.7	max = 75364
	128	100%	(0.7%)
	256	99.3%	(5.6%)
	512	93.7%	(12.9%)
	1024	80.8%	(30%)
	2048	50.8%	(46.5%)
	4096	4.3%	(4.3%)
268000	mean = 23164.7	max = 78512
	128	100%	(0.9%)
	256	99.1%	(2.4%)
	512	96.7%	(12.2%)
	1024	84.5%	(33.3%)
	2048	51.2%	(46.2%)
	4096	5%	(5%)
269000	mean = 23040.7	max = 74792
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.8%)
	512	94.5%	(12%)
	1024	82.5%	(30.1%)
	2048	52.4%	(48.4%)
	4096	4%	(4%)
270000	mean = 23296.7	max = 74096
	64	100%	(0.1%)
	128	99.9%	(1.2%)
	256	98.7%	(4.7%)
	512	94%	(12%)
	1024	82%	(30.4%)
	2048	51.6%	(46.8%)
	4096	4.8%	(4.8%)
271000	mean = 22510.9	max = 78768
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(6.3%)
	512	92.9%	(13%)
	1024	79.9%	(31.2%)
	2048	48.7%	(43.8%)
	4096	4.9%	(4.9%)
272000	mean = 23286.4	max = 71484
	128	100%	(0.7%)
	256	99.3%	(5.5%)
	512	93.8%	(12.1%)
	1024	81.7%	(29.3%)
	2048	52.4%	(47.8%)
	4096	4.6%	(4.6%)
273000	mean = 23209.1	max = 76328
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(4.7%)
	512	94.9%	(12.8%)
	1024	82.1%	(32.1%)
	2048	50%	(45.4%)
	4096	4.6%	(4.6%)
274000	mean = 23048.9	max = 80416
	64	100%	(0.2%)
	128	99.8%	(1.1%)
	256	98.7%	(4.7%)
	512	94%	(11.5%)
	1024	82.5%	(32.3%)
	2048	50.2%	(44.8%)
	4096	5.4%	(5.4%)
275000	mean = 22647.7	max = 69848
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(4.6%)
	512	95%	(13.5%)
	1024	81.5%	(32.6%)
	2048	48.9%	(44.4%)
	4096	4.5%	(4.5%)
276000	mean = 23605.7	max = 80208
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(5.5%)
	512	93.7%	(9.9%)
	1024	83.8%	(32.8%)
	2048	51%	(44.5%)
	4096	6.5%	(6.5%)
277000	mean = 23265.7	max = 78800
	128	100%	(0.4%)
	256	99.6%	(4.1%)
	512	95.5%	(12.3%)
	1024	83.2%	(32.4%)
	2048	50.8%	(45.6%)
	4096	5.2%	(5.2%)
278000	mean = 23092	max = 68164
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.8%)
	512	94.6%	(12.1%)
	1024	82.5%	(32.5%)
	2048	50%	(44.3%)
	4096	5.7%	(5.7%)
279000	mean = 23618.7	max = 70316
	128	100%	(0.3%)
	256	99.7%	(5.4%)
	512	94.3%	(11.8%)
	1024	82.5%	(30.4%)
	2048	52.1%	(46.3%)
	4096	5.8%	(5.8%)
280000	mean = 23474.7	max = 78260
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.6%)
	512	94.6%	(11.2%)
	1024	83.4%	(31.2%)
	2048	52.2%	(46.6%)
	4096	5.6%	(5.6%)
281000	mean = 23114.6	max = 75676
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(4.6%)
	512	94.4%	(11.2%)
	1024	83.2%	(34.4%)
	2048	48.8%	(43.8%)
	4096	5%	(5%)
282000	mean = 23253.3	max = 80480
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(4.3%)
	512	95.4%	(12.9%)
	1024	82.5%	(32.7%)
	2048	49.8%	(43.9%)
	4096	5.9%	(5.9%)
283000	mean = 22905.8	max = 70060
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(5.2%)
	512	94.3%	(14%)
	1024	80.3%	(31.4%)
	2048	48.9%	(42.8%)
	4096	6.1%	(6.1%)
284000	mean = 23249.2	max = 67736
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.9%)
	512	95.4%	(11.2%)
	1024	84.2%	(33.2%)
	2048	51%	(45.8%)
	4096	5.2%	(5.2%)
285000	mean = 24008.3	max = 77216
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(3.5%)
	512	96%	(12.6%)
	1024	83.4%	(31.8%)
	2048	51.6%	(45.8%)
	4096	5.8%	(5.8%)
286000	mean = 24266.5	max = 75976
	128	100%	(0.8%)
	256	99.2%	(4.4%)
	512	94.8%	(11.4%)
	1024	83.4%	(28.3%)
	2048	55.1%	(48.5%)
	4096	6.6%	(6.6%)
287000	mean = 22932	max = 66480
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(4.9%)
	512	94.8%	(11.8%)
	1024	83%	(34.6%)
	2048	48.4%	(43.2%)
	4096	5.2%	(5.2%)
288000	mean = 23093.7	max = 76840
	64	100%	(0.5%)
	128	99.5%	(0.4%)
	256	99.1%	(4.6%)
	512	94.5%	(12.8%)
	1024	81.7%	(31.3%)
	2048	50.4%	(45.3%)
	4096	5.1%	(5.1%)
289000	mean = 23446.5	max = 78100
	64	100%	(0.3%)
	128	99.7%	(0.1%)
	256	99.6%	(4.9%)
	512	94.7%	(12.7%)
	1024	82%	(29.8%)
	2048	52.2%	(46.9%)
	4096	5.3%	(5.3%)
290000	mean = 23192.5	max = 70320
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.1%)
	512	95.4%	(11.4%)
	1024	84%	(32.1%)
	2048	51.9%	(47.3%)
	4096	4.6%	(4.6%)
291000	mean = 23452.1	max = 78268
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.7%)
	512	94.6%	(11.9%)
	1024	82.7%	(30%)
	2048	52.7%	(47.1%)
	4096	5.6%	(5.6%)
292000	mean = 24359.2	max = 71280
	128	100%	(0.7%)
	256	99.3%	(3.2%)
	512	96.1%	(10.7%)
	1024	85.4%	(31.4%)
	2048	54%	(47.7%)
	4096	6.3%	(6.3%)
293000	mean = 24109.4	max = 70100
	128	100%	(0.7%)
	256	99.3%	(4.7%)
	512	94.6%	(11%)
	1024	83.6%	(31.7%)
	2048	51.9%	(44.6%)
	4096	7.3%	(7.3%)
294000	mean = 23611	max = 71824
	64	100%	(0.5%)
	128	99.5%	(0.7%)
	256	98.8%	(4.1%)
	512	94.7%	(10.9%)
	1024	83.8%	(32.6%)
	2048	51.2%	(45%)
	4096	6.2%	(6.2%)
295000	mean = 23541.1	max = 71796
	128	100%	(0.6%)
	256	99.4%	(5.3%)
	512	94.1%	(12.7%)
	1024	81.4%	(29.9%)
	2048	51.5%	(45.5%)
	4096	6%	(6%)
296000	mean = 23703.4	max = 76244
	128	100%	(0.5%)
	256	99.5%	(4.6%)
	512	94.9%	(12.1%)
	1024	82.8%	(29.8%)
	2048	53%	(46.9%)
	4096	6.1%	(6.1%)
297000	mean = 23547.5	max = 71332
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.1%)
	512	95.3%	(11.6%)
	1024	83.7%	(31.1%)
	2048	52.6%	(48.1%)
	4096	4.5%	(4.5%)
298000	mean = 23473.2	max = 76020
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.3%)
	512	95%	(13.1%)
	1024	81.9%	(29.7%)
	2048	52.2%	(45.9%)
	4096	6.3%	(6.3%)
299000	mean = 23089.4	max = 80416
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.4%)
	256	99.4%	(4.6%)
	512	94.8%	(13%)
	1024	81.8%	(31.6%)
	2048	50.2%	(44.7%)
	4096	5.5%	(5.5%)
300000	mean = 23297.3	max = 70460
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(3.3%)
	512	95.8%	(12.9%)
	1024	82.9%	(32%)
	2048	50.9%	(45.3%)
	4096	5.6%	(5.6%)
301000	mean = 24064.8	max = 80124
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(5.2%)
	512	94%	(9.7%)
	1024	84.3%	(30.6%)
	2048	53.7%	(47.8%)
	4096	5.9%	(5.9%)
302000	mean = 23572.7	max = 79784
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(5.1%)
	512	94.5%	(12.1%)
	1024	82.4%	(30.5%)
	2048	51.9%	(46.8%)
	4096	5.1%	(5.1%)
303000	mean = 23666.9	max = 80052
	128	100%	(0.3%)
	256	99.7%	(4.4%)
	512	95.3%	(13.5%)
	1024	81.8%	(29.9%)
	2048	51.9%	(45.8%)
	4096	6.1%	(6.1%)
304000	mean = 23720.6	max = 74344
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.8%)
	512	94.6%	(11.7%)
	1024	82.9%	(29.9%)
	2048	53%	(47.5%)
	4096	5.5%	(5.5%)
305000	mean = 24232	max = 75028
	128	100%	(0.6%)
	256	99.4%	(3.6%)
	512	95.8%	(11.6%)
	1024	84.2%	(29.6%)
	2048	54.6%	(47.7%)
	4096	6.9%	(6.9%)
306000	mean = 24006.3	max = 73332
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(3.7%)
	512	95.2%	(10.7%)
	1024	84.5%	(31.5%)
	2048	53%	(47.2%)
	4096	5.8%	(5.8%)
307000	mean = 23960.6	max = 78992
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(3.4%)
	512	95.5%	(12.8%)
	1024	82.7%	(29.5%)
	2048	53.2%	(47.2%)
	4096	6%	(6%)
308000	mean = 23964.9	max = 71236
	128	100%	(0.8%)
	256	99.2%	(4%)
	512	95.2%	(10.6%)
	1024	84.6%	(31.1%)
	2048	53.5%	(47.4%)
	4096	6.1%	(6.1%)
309000	mean = 23640.8	max = 72844
	64	100%	(0.3%)
	128	99.7%	(0.7%)
	256	99%	(4.7%)
	512	94.3%	(12.1%)
	1024	82.2%	(30.9%)
	2048	51.3%	(45.3%)
	4096	6%	(6%)
310000	mean = 23524.7	max = 77896
	128	100%	(0.9%)
	256	99.1%	(5%)
	512	94.1%	(13.6%)
	1024	80.5%	(29.4%)
	2048	51.1%	(44%)
	4096	7.1%	(7.1%)
311000	mean = 24534.9	max = 79348
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(3.6%)
	512	96%	(11.3%)
	1024	84.7%	(30%)
	2048	54.7%	(47.3%)
	4096	7.4%	(7.4%)
312000	mean = 23706.9	max = 74724
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(3.9%)
	512	95.3%	(12.9%)
	1024	82.4%	(28%)
	2048	54.4%	(48.9%)
	4096	5.5%	(5.5%)
313000	mean = 23251.3	max = 76600
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(5.2%)
	512	93.9%	(12.3%)
	1024	81.6%	(31.6%)
	2048	50%	(43.9%)
	4096	6.1%	(6.1%)
314000	mean = 23744.5	max = 68972
	128	100%	(0.4%)
	256	99.6%	(4.8%)
	512	94.8%	(12.9%)
	1024	81.9%	(29.1%)
	2048	52.8%	(46.3%)
	4096	6.5%	(6.5%)
315000	mean = 24055.7	max = 76632
	128	100%	(0.4%)
	256	99.6%	(5.3%)
	512	94.3%	(11.2%)
	1024	83.1%	(30.6%)
	2048	52.5%	(45.2%)
	4096	7.3%	(7.3%)
316000	mean = 23786.9	max = 76580
	128	100%	(0.8%)
	256	99.2%	(4.5%)
	512	94.7%	(13%)
	1024	81.7%	(28.6%)
	2048	53.1%	(46.8%)
	4096	6.3%	(6.3%)
317000	mean = 23900	max = 82036
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(5.2%)
	512	93.9%	(12.5%)
	1024	81.4%	(28.6%)
	2048	52.8%	(45.3%)
	4096	7.5%	(7.5%)
318000	mean = 23525.3	max = 75824
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.7%)
	512	94.5%	(11.1%)
	1024	83.4%	(31.2%)
	2048	52.2%	(46.5%)
	4096	5.7%	(5.7%)
319000	mean = 23876.8	max = 74692
	64	100%	(0.4%)
	128	99.6%	(0.8%)
	256	98.8%	(3.7%)
	512	95.1%	(12%)
	1024	83.1%	(30.9%)
	2048	52.2%	(46.4%)
	4096	5.8%	(5.8%)
320000	mean = 22868.2	max = 70820
	128	100%	(0.3%)
	256	99.7%	(4.9%)
	512	94.8%	(14.1%)
	1024	80.7%	(30.2%)
	2048	50.5%	(45.8%)
	4096	4.7%	(4.7%)
321000	mean = 23960.4	max = 80504
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(5.1%)
	512	94.2%	(11%)
	1024	83.2%	(30.3%)
	2048	52.9%	(46.9%)
	4096	6%	(6%)
322000	mean = 24123.3	max = 71904
	128	100%	(0.2%)
	256	99.8%	(5.3%)
	512	94.5%	(10%)
	1024	84.5%	(29.2%)
	2048	55.3%	(50.1%)
	4096	5.2%	(5.2%)
323000	mean = 23720.3	max = 75020
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(5%)
	512	94.1%	(10.2%)
	1024	83.9%	(30.8%)
	2048	53.1%	(47.6%)
	4096	5.5%	(5.5%)
324000	mean = 23856.9	max = 76484
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(2.6%)
	512	96.4%	(11.6%)
	1024	84.8%	(31.5%)
	2048	53.3%	(47.5%)
	4096	5.8%	(5.8%)
325000	mean = 24604.3	max = 71116
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(5%)
	512	94.5%	(10.9%)
	1024	83.6%	(28.9%)
	2048	54.7%	(46.8%)
	4096	7.9%	(7.9%)
326000	mean = 24563.4	max = 76340
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.8%)
	512	94.7%	(12.2%)
	1024	82.5%	(30.4%)
	2048	52.1%	(43.5%)
	4096	8.6%	(8.6%)
327000	mean = 24089.8	max = 72012
	64	100%	(0.3%)
	128	99.7%	(0.8%)
	256	98.9%	(4.4%)
	512	94.5%	(10.9%)
	1024	83.6%	(29.6%)
	2048	54%	(47.9%)
	4096	6.1%	(6.1%)
328000	mean = 24111.4	max = 69224
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(5%)
	512	94.6%	(12.1%)
	1024	82.5%	(28.3%)
	2048	54.2%	(46.9%)
	4096	7.3%	(7.3%)
329000	mean = 23651.5	max = 78360
	64	100%	(0.4%)
	128	99.6%	(0.8%)
	256	98.8%	(4.5%)
	512	94.3%	(11.7%)
	1024	82.6%	(29.5%)
	2048	53.1%	(46.8%)
	4096	6.3%	(6.3%)
330000	mean = 23823.6	max = 69732
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.5%)
	512	94.8%	(12%)
	1024	82.8%	(30.1%)
	2048	52.7%	(46.2%)
	4096	6.5%	(6.5%)
331000	mean = 23821.6	max = 70036
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.9%)
	512	94.3%	(13.4%)
	1024	80.9%	(28.8%)
	2048	52.1%	(45.2%)
	4096	6.9%	(6.9%)
332000	mean = 24545.3	max = 76708
	64	100%	(0.3%)
	128	99.7%	(1%)
	256	98.7%	(4.6%)
	512	94.1%	(11.7%)
	1024	82.4%	(27.9%)
	2048	54.5%	(47.3%)
	4096	7.2%	(7.2%)
333000	mean = 23938.2	max = 76364
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(5.1%)
	512	93.9%	(10.3%)
	1024	83.6%	(31.5%)
	2048	52.1%	(44.9%)
	4096	7.2%	(7.2%)
334000	mean = 23510	max = 79880
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(4.2%)
	512	94.9%	(14.6%)
	1024	80.3%	(30.2%)
	2048	50.1%	(43.7%)
	4096	6.4%	(6.4%)
335000	mean = 24038.2	max = 72936
	128	100%	(0.6%)
	256	99.4%	(5.2%)
	512	94.2%	(11.8%)
	1024	82.4%	(28.7%)
	2048	53.7%	(46.9%)
	4096	6.8%	(6.8%)
336000	mean = 23841.1	max = 75684
	64	100%	(0.5%)
	128	99.5%	(0.8%)
	256	98.7%	(4.8%)
	512	93.9%	(12.5%)
	1024	81.4%	(28.5%)
	2048	52.9%	(45.8%)
	4096	7.1%	(7.1%)
337000	mean = 24470.6	max = 79380
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(5.4%)
	512	94.1%	(10.9%)
	1024	83.2%	(29.1%)
	2048	54.1%	(46.4%)
	4096	7.7%	(7.7%)
338000	mean = 25351.9	max = 80380
	64	100%	(0.3%)
	128	99.7%	(0.2%)
	256	99.5%	(3.2%)
	512	96.3%	(10.8%)
	1024	85.5%	(28.3%)
	2048	57.2%	(49.6%)
	4096	7.6%	(7.6%)
339000	mean = 24266.3	max = 70824
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(5.4%)
	512	94%	(11.5%)
	1024	82.5%	(30.9%)
	2048	51.6%	(43.2%)
	4096	8.4%	(8.4%)
340000	mean = 24231.2	max = 79612
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4%)
	512	95.2%	(12.5%)
	1024	82.7%	(29.7%)
	2048	53%	(45.5%)
	4096	7.5%	(7.5%)
341000	mean = 23923.3	max = 77728
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(4.7%)
	512	94.6%	(11.1%)
	1024	83.5%	(30.1%)
	2048	53.4%	(46.8%)
	4096	6.6%	(6.6%)
342000	mean = 24461.1	max = 79616
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(4.2%)
	512	94.8%	(10.5%)
	1024	84.3%	(28.9%)
	2048	55.4%	(47.8%)
	4096	7.6%	(7.6%)
343000	mean = 24410.7	max = 76428
	128	100%	(0.5%)
	256	99.5%	(4.2%)
	512	95.3%	(11.9%)
	1024	83.4%	(30.2%)
	2048	53.2%	(45%)
	4096	8.2%	(8.2%)
344000	mean = 24473.7	max = 76552
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.8%)
	512	94.4%	(11.1%)
	1024	83.3%	(29%)
	2048	54.3%	(46.3%)
	4096	8%	(8%)
345000	mean = 23679.1	max = 78712
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(5.1%)
	512	94.1%	(13.4%)
	1024	80.7%	(28.4%)
	2048	52.3%	(44.8%)
	4096	7.5%	(7.5%)
346000	mean = 24452.9	max = 79500
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.5%)
	512	94.8%	(12.6%)
	1024	82.2%	(27.7%)
	2048	54.5%	(47.1%)
	4096	7.4%	(7.4%)
347000	mean = 23567.7	max = 74508
	128	100%	(0.2%)
	256	99.8%	(4%)
	512	95.8%	(13.3%)
	1024	82.5%	(31.2%)
	2048	51.3%	(45.3%)
	4096	6%	(6%)
348000	mean = 25088.7	max = 76476
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.3%)
	512	95.2%	(11.1%)
	1024	84.1%	(27.6%)
	2048	56.5%	(48%)
	4096	8.5%	(8.5%)
349000	mean = 24742.1	max = 76920
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.2%)
	512	95.3%	(11.7%)
	1024	83.6%	(28.6%)
	2048	55%	(46.8%)
	4096	8.2%	(8.2%)
350000	mean = 25133.2	max = 76100
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(3.6%)
	512	95.5%	(11.5%)
	1024	84%	(28.7%)
	2048	55.3%	(45.5%)
	4096	9.8%	(9.8%)
351000	mean = 24945.5	max = 72196
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.2%)
	512	95.3%	(12.2%)
	1024	83.1%	(29.1%)
	2048	54%	(44.3%)
	4096	9.7%	(9.7%)
352000	mean = 24146.6	max = 79444
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.9%)
	512	94.5%	(11.2%)
	1024	83.3%	(30.2%)
	2048	53.1%	(45.8%)
	4096	7.3%	(7.3%)
353000	mean = 23579.5	max = 71696
	128	100%	(0.5%)
	256	99.5%	(4.7%)
	512	94.8%	(13.3%)
	1024	81.5%	(32.4%)
	2048	49.1%	(41.1%)
	4096	8%	(8%)
354000	mean = 24291.9	max = 79684
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(4.6%)
	512	94.6%	(11.2%)
	1024	83.4%	(30.3%)
	2048	53.1%	(45%)
	4096	8.1%	(8.1%)
355000	mean = 24835.2	max = 77084
	128	100%	(0.7%)
	256	99.3%	(4.2%)
	512	95.1%	(11.6%)
	1024	83.5%	(28.4%)
	2048	55.1%	(47.8%)
	4096	7.3%	(7.3%)
356000	mean = 24090.4	max = 78376
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.8%)
	512	94.5%	(12.5%)
	1024	82%	(28%)
	2048	54%	(46.8%)
	4096	7.2%	(7.2%)
357000	mean = 24522.3	max = 70892
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.7%)
	512	94.8%	(11.9%)
	1024	82.9%	(27.6%)
	2048	55.3%	(47.9%)
	4096	7.4%	(7.4%)
358000	mean = 24472.8	max = 77168
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(4.4%)
	512	95.2%	(11.8%)
	1024	83.4%	(29.7%)
	2048	53.7%	(45.9%)
	4096	7.8%	(7.8%)
359000	mean = 24799.1	max = 74728
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.5%)
	512	96.2%	(10.2%)
	1024	86%	(31.4%)
	2048	54.6%	(47%)
	4096	7.6%	(7.6%)
360000	mean = 24884.8	max = 76084
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4%)
	512	95.5%	(12%)
	1024	83.5%	(29.6%)
	2048	53.9%	(44.4%)
	4096	9.5%	(9.5%)
361000	mean = 23845.3	max = 76472
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(5.2%)
	512	94.3%	(12.1%)
	1024	82.2%	(29.9%)
	2048	52.3%	(45.7%)
	4096	6.6%	(6.6%)
362000	mean = 24009.4	max = 72180
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(4.9%)
	512	94.8%	(14.5%)
	1024	80.3%	(27.4%)
	2048	52.9%	(46%)
	4096	6.9%	(6.9%)
363000	mean = 23974	max = 76184
	128	100%	(0.2%)
	256	99.8%	(6%)
	512	93.8%	(11.5%)
	1024	82.3%	(30.1%)
	2048	52.2%	(45.3%)
	4096	6.9%	(6.9%)
364000	mean = 25046.7	max = 80876
